layer,feature,llm_label,domain_activation,general_activation,specialization,specialization_conf,activation_conf,consistency_conf
28,27,Earnings Reports Interest Rate Announcements,103.54137420654297,125.2786636352539,21.737289428710938,200.0,200.0,16.529769906869603
28,333,value milestones performance updates,53.0832405090332,65.8157730102539,12.732532501220703,127.32532501220703,106.1664810180664,16.130856808675023
28,154,Record performance indicators,3.324486494064331,9.349610328674316,6.025123596191406,60.25123596191406,6.648972988128662,7.111497436141193
28,262,Stock performance metrics,20.089826583862305,24.96961784362793,4.879791259765625,48.79791259765625,40.17965316772461,16.0914169449246
28,83,Inflation labor indicators,18.71414566040039,23.170129776000977,4.455984115600586,44.55984115600586,37.42829132080078,16.153682211813955
28,181,Asset class diversification yieldspread dynamics,1.368024468421936,5.610869884490967,4.24284553527832,42.4284553527832,2.736048936843872,4.876336456146664
28,389,Private Equity Venture Capital Funding Activities,8.466290473937988,12.595072746276855,4.128782272338867,41.28782272338867,16.932580947875977,13.443813536433368
28,171,Currency volatility due to policy actions This label captures,0.018323039636015892,3.7708616256713867,3.7891845703125,37.891845703125,0.036646079272031784,0.09718224350252337
28,350,Sophisticated trading strategies performance metrics,17.11269760131836,20.685733795166016,3.5730361938476562,35.73036193847656,34.22539520263672,16.545410253048285
28,172,Innovations in sectors,16.919326782226562,20.45041275024414,3.531085968017578,35.31085968017578,33.838653564453125,16.54668488979478
