layer,feature,llm_label,domain_activation,general_activation,specialization,specialization_conf,activation_conf,consistency_conf
10,17,Earnings Reports Interest Rate Decisions,71.09974670410156,85.60244750976562,14.502700805664062,145.02700805664062,142.19949340820312,16.611615385410662
10,372,value milestones performance updates,25.74983787536621,30.890615463256836,5.140777587890625,51.40777587890625,51.49967575073242,16.67162501569101
10,303,Earnings Reports Performance Indicators,24.417251586914062,29.441421508789062,5.024169921875,50.24169921875,48.834503173828125,16.58700588191698
10,389,Stock index performance changes Bank metrics,19.71131706237793,24.062057495117188,4.350740432739258,43.50740432739258,39.42263412475586,16.383733657338208
10,343,Inflation indicators labor data,19.90945816040039,24.254589080810547,4.345130920410156,43.45130920410156,39.81891632080078,16.417064905999265
10,47,Asset class diversification yieldspread,16.90534210205078,20.294797897338867,3.389455795288086,33.89455795288086,33.81068420410156,16.659778715281
10,273,Private Equity Venture Capital Funding Activities,16.69608497619629,20.03141212463379,3.3353271484375,33.353271484375,33.39216995239258,16.669903122470476
10,173,Foreign exchange volatility commodity price fluctuations This label captures,16.84200096130371,19.954425811767578,3.112424850463867,31.124248504638672,33.68400192260742,16.880466639507713
10,292,Sophisticated trading strategies performance metrics,12.896866798400879,15.527342796325684,2.6304759979248047,26.304759979248047,25.793733596801758,16.611814355580186
10,384,Innovative fintech solutions product,12.660045623779297,15.197993278503418,2.537947654724121,25.37947654724121,25.320091247558594,16.660154260873526
