layer,feature,llm_label,domain_activation,general_activation,specialization,specialization_conf,activation_conf,consistency_conf
4,141,Earnings Reports Interest Rate Announcements,36.42454528808594,44.03120422363281,7.606658935546875,76.06658935546875,72.84909057617188,16.54487808377307
4,127,valuation changes performance indicators,37.068687438964844,44.645442962646484,7.576755523681641,75.7675552368164,74.13737487792969,16.60581012488962
4,384,Corporate performance metrics,34.348602294921875,41.37744140625,7.028839111328125,70.28839111328125,68.69720458984375,16.602574314676485
4,3,Stock index performance,27.3183650970459,32.95159149169922,5.63322639465332,56.3322639465332,54.6367301940918,16.58090784715368
4,90,Inflation indicators labor data,24.10704231262207,29.108980178833008,5.0019378662109375,50.019378662109375,48.21408462524414,16.56330257159049
4,1,Asset class diversification yieldspread,22.054405212402344,26.587032318115234,4.532627105712891,45.326271057128906,44.10881042480469,16.59034746602797
4,156,Private Equity Venture Capital Funding Municipal Bonds Tax-Free,19.63945960998535,23.688919067382812,4.049459457397461,40.49459457397461,39.2789192199707,16.581136145656263
4,25,Currency volatility due to policy changes This label captures,14.93983268737793,18.164297103881836,3.2244644165039062,32.24464416503906,29.87966537475586,16.44966783128116
4,373,Sophisticated trading strategies performance metrics,14.651411056518555,17.72455596923828,3.0731449127197266,30.731449127197266,29.30282211303711,16.53233071897169
4,2,Innovative fintech solutions asset management,14.067837715148926,16.965478897094727,2.897641181945801,28.976411819458008,28.13567543029785,16.584073813039243
