layer,feature,llm_label,domain_activation,general_activation,specialization,specialization_conf,activation_conf,consistency_conf
22,220,Earnings Reports Rate Changes Announcements,74.77290344238281,91.47728729248047,16.704383850097656,167.04383850097656,149.54580688476562,16.347862000610334
22,101,Cryptocurrency corrections regulatory concerns,49.17521667480469,60.23624801635742,11.061031341552734,110.61031341552734,98.35043334960938,16.327450096643116
22,353,Earnings performance metrics,31.622079849243164,38.31464767456055,6.692567825317383,66.92567825317383,63.24415969848633,16.50652257999961
22,239,Stock performance metrics,23.58297348022461,28.627485275268555,5.044511795043945,50.44511795043945,47.16594696044922,16.47575625554374
22,387,Economic indicator updates performance,5.657242298126221,10.463600158691406,4.8063578605651855,48.063578605651855,11.314484596252441,10.81318516061058
22,303,Diversified portfolios asset class allocation Explanation This label captures,14.670132637023926,18.41798210144043,3.747849464416504,37.47849464416504,29.34026527404785,15.93022792206602
22,396,Private Equity Venture Capital Funding Municipal Bonds Tax-Free,4.749034881591797,8.286829948425293,3.537795066833496,35.37795066833496,9.498069763183594,11.461644346869296
22,184,Central bank policies volatility,16.362045288085938,19.7984619140625,3.4364166259765625,34.364166259765625,32.724090576171875,16.52860243296401
22,83,Sophisticated trading strategies performance metrics,16.79857063293457,20.18042755126953,3.381856918334961,33.81856918334961,33.59714126586914,16.648379317293294
22,276,Innovations in sectors,6.319761276245117,9.518353462219238,3.198592185974121,31.98592185974121,12.639522552490234,13.279106100293195
